SKU,Product_description,Product Role,Country_of_Origin,FBA Fee,Storage Fee,Handling_Cost,Cost,Current_Price,Minimum_Acceptable_Margin_%,Target_Gross_Margin_%,Total_Cost,Current_Margin_%,Current_Margin_$,Margin_Health,Avg_Competitor_Price,Lowest_Competitor_Price,Highest_Competitor_Price,Competitor_Count,total-inventory,available,weeks-of-cover-t30,units-shipped-t30,units-shipped-t90,Inventory_Status,Inventory_Pressure,Returns_90d,Return_Rate_90d,Return_Category,Total_Units_90d,Avg_Daily_Units,Conversion_Rate,Trend_%,Velocity_Category,Trend_Category,Total_Spend,Total_Ad_Sales,Avg_ACOS,Avg_ROAS,Ad_Efficiency,Competitive_Position,Floor_Price,Target_Price,Competitive_Price,Adjustment_Factor,Recommended_Price,Price_Change,Price_Change_%,New_Margin_%,Margin_Improvement,Recommendation_Action,Est_Monthly_Units,Current_Revenue,New_Revenue
MN-01,Rectangle Tray -14 x 10 Inch - Pk of  25,Core,India,15.11,0.44,0.75,16.0,38.9,20.0,35.0,32.3,16.966580976863757,6.600000000000001,CRITICAL,36.9,31.95,44.9,9,382.0,264,6,203,574,Healthy,0.0,26,4.529616724738676,Low Returns,565.0,6.208791208791209,30.343716433941996,20.958083832335326,Average,Trending Up,2762.06,14258.43,19.371417470226383,5.162244846237953,Efficient,Above Market,40.37,49.69,36.162,0.0,40.9,2.0,5.141388174807198,21.026894865525676,4.06031388866192,URGENT: Below Min Margin,203,7896.7,8302.699999999999
MN-02,Rectangle Tray -12x10 - Pk of 25,Core,India,13.55,0.3,0.75,12.0,33.9,20.0,35.0,26.6,21.5339233038348,7.299999999999997,OPPORTUNITY,32.5,27.9,39.95,8,306.0,206,7,155,417,Healthy,0.0,24,5.755395683453238,Normal Returns,406.0,4.461538461538462,22.68156424581006,4.861111111111112,Average,Stable,2286.92,11664.02,19.606619330213768,5.100318332079828,Efficient,At Market,33.25,40.92,31.849999999999998,0.0,33.9,0.0,0.0,21.5339233038348,0.0,Maintain Price,155,5254.5,5254.5
MN-03,Oval Tray -15x10 Inch - Pk of  25,Core,India,13.94,0.34,0.75,15.0,34.9,20.0,35.0,30.029999999999998,13.9541547277937,4.870000000000001,CRITICAL,35.2,29.99,42.5,7,139.0,95,8,67,179,Healthy,0.0,13,7.262569832402235,Normal Returns,193.0,2.120879120879121,22.679200940070505,-4.285714285714286,Slow Mover,Stable,670.2,3675.34,18.23504764185082,5.483945091017606,Efficient,At Market,37.54,46.2,35.2,-0.05,38.9,4.0,11.461318051575931,22.802056555269925,8.847901827476225,URGENT: Below Min Margin,67,2338.2999999999997,2606.2999999999997
MN-04,Oval Tray - 13x9 Inch - pk of 25,Core,India,12.89,0.3,0.75,12.0,29.9,20.0,35.0,25.94,13.244147157190628,3.9599999999999973,CRITICAL,28.4,24.5,35.9,6,171.0,70,8,71,187,Healthy,0.0,16,8.55614973262032,Normal Returns,188.0,2.065934065934066,31.703204047217536,26.31578947368421,Slow Mover,Trending Up,903.79,2090.28,43.23774805289243,2.31279390123812,Inefficient,Above Market,32.42,39.91,28.4,-0.020000000000000004,32.9,3.0,10.033444816053512,21.155015197568382,7.910868040377753,URGENT: Below Min Margin,71,2122.9,2335.9
MN-05,Christmas Tray - 17x12 Inch - Pk of 5,Seasonal,India,11.8,0.22,0.75,13.0,21.9,25.0,45.0,25.77,-17.671232876712335,-3.870000000000001,CRITICAL,23.9,18.95,23.9,3,283.0,0,0,491,557,Stockout Risk,0.5,6,1.0771992818671454,Low Returns,327.0,3.5934065934065935,17.44,1535.2941176470588,Average,Trending Up,637.85,1779.54,35.84353259831193,2.7899035823469465,Inefficient,Below Market,34.36,46.85,25.095,0.13,34.9,13.0,59.360730593607315,26.160458452722064,43.8316913294344,URGENT: Below Min Margin,491,10752.9,17135.899999999998
MN-06,Star Tray - 14 Inch - Pk of 5,Seasonal,India,8.5,0.12,0.75,5.0,14.95,25.0,45.0,14.37,3.8795986622073584,0.5800000000000001,CRITICAL,15.8,12.99,21.5,4,21.0,1,0,131,173,Stockout Risk,0.5,3,1.7341040462427744,Low Returns,120.0,1.3186813186813187,21.978021978021978,233.33333333333334,Slow Mover,Trending Up,968.46,1880.96,51.487538278325964,1.9422175412510583,Inefficient,Below Market,19.16,26.13,16.59,0.08,19.9,4.949999999999999,33.11036789297658,27.78894472361809,23.909346061410734,URGENT: Below Min Margin,131,1958.4499999999998,2606.8999999999996
MN-07,15 Round plate - pk of 10,Core,India,17.85,0.27,0.75,11.0,34.9,20.0,35.0,29.87,14.412607449856726,5.029999999999998,CRITICAL,33.5,28.9,41.95,10,144.0,134,5,95,220,Healthy,0.0,15,6.8181818181818175,Normal Returns,231.0,2.5384615384615383,12.919463087248323,13.414634146341465,Slow Mover,Trending Up,1646.19,8968.039999999999,18.356184851985496,5.44775511939691,Efficient,At Market,37.34,45.95,32.83,-0.05,37.9,3.0,8.595988538681949,21.18733509234828,6.7747276424915555,URGENT: Below Min Margin,95,3315.5,3600.5
MN-08,10 Inch Heart Plates - pk of 25,Seasonal,India,12.11,0.25,0.75,13.0,29.9,25.0,45.0,26.11,12.675585284280935,3.789999999999999,CRITICAL,31.2,25.95,39.9,6,255.0,95,98,10,36,Overstocked,-0.5,6,16.666666666666664,High Returns,42.0,0.46153846153846156,26.582278481012654,-57.14285714285714,Slow Mover,Trending Down,194.11,1444.07,13.441869161467244,7.4394415537581775,Highly Efficient,At Market,34.81,47.47,31.2,-0.2,35.9,6.0,20.066889632107024,27.270194986072422,14.594609701791487,URGENT: Below Min Margin,10,299.0,359.0
MN-09,6 Inch Heart Plates - pk of 25,Seasonal,India,8.08,0.09,0.75,6.0,14.9,25.0,45.0,14.92,-0.13422818791946023,-0.019999999999999574,CRITICAL,15.6,11.99,22.9,5,211.0,207,43,19,66,Overstocked,-0.5,11,16.666666666666664,High Returns,80.0,0.8791208791208791,15.717092337917485,-53.65853658536586,Slow Mover,Trending Down,396.74,1412.58,28.086196887963872,3.560467812673287,Break-even,At Market,19.89,27.13,15.6,-0.18000000000000002,20.9,5.999999999999998,40.26845637583891,28.612440191387556,28.746668379307017,URGENT: Below Min Margin,19,283.1,397.09999999999997
MN-10,9x6 Rectangle - pk of 25,Core,India,9.52,0.13,0.75,7.0,19.9,20.0,35.0,17.4,12.562814070351761,2.5,CRITICAL,20.5,16.95,26.9,9,363.0,102,10,122,231,Healthy,-0.25,19,8.225108225108226,Normal Returns,222.0,2.4395604395604398,17.633042096902305,162.22222222222223,Slow Mover,Trending Up,1142.65,3648.44,31.318865049171702,3.192963724675097,Break-even,At Market,21.75,26.77,20.09,-0.05,22.9,3.0,15.075376884422113,24.017467248908297,11.454653178556535,URGENT: Below Min Margin,122,2427.7999999999997,2793.7999999999997
