SKU,Product_description,Product Role,Current_Price,Floor_Price,Target_Price,Recommended_Price,Price_Change,Price_Change_%,Current_Margin_%,New_Margin_%,Margin_Improvement,Inventory_Status,Velocity_Category,Competitive_Position,Recommendation_Action
MN-01,Rectangle Tray -14 x 10 Inch - Pk of  25,Core,38.9,40.37,49.69,40.9,2.0,5.14,16.97,21.03,4.06,Healthy,Average,Above Market,URGENT: Below Min Margin
MN-26,8 inch square -  pk of 50,Core,29.9,33.56,41.31,34.9,5.0,16.72,10.2,23.07,12.87,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-27,7 inch square -  pk of 50,Core,28.9,30.22,37.2,30.9,2.0,6.92,16.33,21.75,5.42,Healthy,Average,At Market,URGENT: Below Min Margin
MN-28,6 inch square -  pk of 50,Core,24.9,28.09,34.57,28.9,4.0,16.06,9.76,22.25,12.49,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-29,4 inch square -  pk of 50,Core,21.9,22.14,27.25,23.9,2.0,9.13,19.13,25.9,6.77,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-30,10 inch Round- pk of 50,Core,34.9,44.04,54.2,44.9,10.0,28.65,-0.95,21.54,22.48,Healthy,Average,At Market,URGENT: Below Min Margin
MN-31,8 Round -  pk of 50,Core,28.9,33.19,40.85,33.9,5.0,17.3,8.13,21.68,13.55,Healthy,Average,At Market,URGENT: Below Min Margin
MN-32,7 Round -  pk of 50,Core,26.9,29.89,36.78,30.9,4.0,14.87,11.12,22.62,11.51,Healthy,Average,At Market,URGENT: Below Min Margin
MN-33,6 Round -  pk of 50,Core,25.9,27.7,34.09,28.9,3.0,11.58,14.44,23.32,8.88,Healthy,Average,Below Market,URGENT: Below Min Margin
MN-49,11 x 7 Rectangle -  pk of 50,Core,32.9,38.2,47.02,38.9,6.0,18.24,7.11,21.44,14.33,Healthy,Average,At Market,URGENT: Below Min Margin
MN-34,9 Square - pk of 50,Core,32.9,35.55,43.75,36.9,4.0,12.16,13.56,22.93,9.37,Healthy,Average,At Market,URGENT: Below Min Margin
MN-36,17x12 - Oval Tray - pk of 10,Core,29.9,31.31,38.54,31.9,2.0,6.69,16.22,21.47,5.25,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-37,11 Square - pk of 25,Core,28.9,32.4,39.88,32.9,4.0,13.84,10.31,21.22,10.9,Healthy,Average,At Market,URGENT: Below Min Margin
MN-38,3.5 Round Bowl -  pk of 100,Core,29.9,32.86,40.45,33.9,4.0,13.38,12.07,22.45,10.37,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-39,2.5 Round Bowl -  pk of 100,Core,24.9,28.66,35.28,29.9,5.0,20.08,7.91,23.31,15.4,Healthy,Average,At Market,URGENT: Below Min Margin
MN-40,5 inch square -  pk of 50,Core,23.9,24.59,30.26,25.9,2.0,8.37,17.7,24.05,6.36,Healthy,Average,At Market,URGENT: Below Min Margin
MN-41,6 inch square -  pk of 200,Core,78.9,79.27,97.57,83.9,5.0,6.34,19.62,24.41,4.79,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-44,2.5 Square Bowl - Pk of 25,Core,11.9,12.07,14.86,13.9,2.0,16.81,18.82,30.5,11.68,Healthy,Slow Mover,Below Market,URGENT: Below Min Margin
MN-45,3.5 Square Bowl -  Pk of 100,Core,29.9,32.1,39.51,32.9,3.0,10.03,14.11,21.95,7.83,Healthy,Average,At Market,URGENT: Below Min Margin
MN-35,9 Round -  pk of 50,Core,31.9,35.61,43.83,36.9,5.0,15.67,10.69,22.79,12.1,Healthy,Average,At Market,URGENT: Below Min Margin
MN-23,2.5 Inch round Bowl - 25 ml - Pk of 25,Core,9.95,13.0,16.0,13.9,3.95,39.7,-4.52,25.18,29.7,Healthy,Average,Below Market,URGENT: Below Min Margin
MN-25,10 inch square -  pk of 50,Core,34.9,39.01,48.02,39.9,5.0,14.33,10.57,21.78,11.21,Low Stock,Fast Mover,At Market,URGENT: Below Min Margin
MN-21,11 x 7 Rectangle - Pk of 25,Core,21.9,24.25,29.85,25.9,4.0,18.26,11.42,25.1,13.68,Stockout Risk,Average,Below Market,URGENT: Below Min Margin
MN-03,Oval Tray -15x10 Inch - Pk of  25,Core,34.9,37.54,46.2,38.9,4.0,11.46,13.95,22.8,8.85,Healthy,Slow Mover,At Market,URGENT: Below Min Margin
MN-04,Oval Tray - 13x9 Inch - pk of 25,Core,29.9,32.42,39.91,32.9,3.0,10.03,13.24,21.16,7.91,Healthy,Slow Mover,Above Market,URGENT: Below Min Margin
MN-05,Christmas Tray - 17x12 Inch - Pk of 5,Seasonal,21.9,34.36,46.85,34.9,13.0,59.36,-17.67,26.16,43.83,Stockout Risk,Average,Below Market,URGENT: Below Min Margin
MN-06,Star Tray - 14 Inch - Pk of 5,Seasonal,14.95,19.16,26.13,19.9,4.95,33.11,3.88,27.79,23.91,Stockout Risk,Slow Mover,Below Market,URGENT: Below Min Margin
MN-07,15 Round plate - pk of 10,Core,34.9,37.34,45.95,37.9,3.0,8.6,14.41,21.19,6.77,Healthy,Slow Mover,At Market,URGENT: Below Min Margin
